City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Dropoff Time,Distance (miles),Fare Amount,Fare Currency
493,VIP,COMPLETED,2022-02-12 22:44:54 +0000 UTC,2022-02-12 22:53:50 +0000 UTC,2022-02-12 23:16:50 +0000 UTC,5.98583264068907,24.9,BRL
493,VIP,COMPLETED,2022-01-15 22:38:06 +0000 UTC,2022-01-15 22:45:41 +0000 UTC,2022-01-15 22:59:23 +0000 UTC,5.91945805897613,19.92,BRL
493,VIP,COMPLETED,2022-01-10 15:55:33 +0000 UTC,2022-01-10 16:03:45 +0000 UTC,2022-01-10 16:10:47 +0000 UTC,1.37852066851657,9.05,BRL
458,UberX,COMPLETED,2021-12-04 18:54:42 +0000 UTC,2021-12-04 19:06:28 +0000 UTC,2021-12-04 19:21:31 +0000 UTC,2.43370766606561,16.91,BRL
458,UberX,CANCELED,2021-12-04 14:54:34 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
458,UberX,COMPLETED,2021-12-03 17:08:49 +0000 UTC,2021-12-03 17:15:04 +0000 UTC,2021-12-03 17:34:56 +0000 UTC,3.42697825546528,20.91,BRL
458,UberX,COMPLETED,2021-12-03 15:11:50 +0000 UTC,2021-12-03 15:14:38 +0000 UTC,2021-12-03 15:47:07 +0000 UTC,5.78479735954418,35.95,BRL
458,UberX,CANCELED,2021-12-03 11:53:54 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,VIP,CANCELED,2021-11-07 16:27:17 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,VIP,COMPLETED,2021-11-03 20:32:20 +0000 UTC,2021-11-03 20:42:07 +0000 UTC,2021-11-03 20:51:44 +0000 UTC,1.48384307200589,19.97,BRL
493,UberX Promo,CANCELED,2021-11-03 19:03:55 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,VIP,COMPLETED,2021-10-23 16:23:51 +0000 UTC,2021-10-23 16:30:24 +0000 UTC,2021-10-23 16:38:44 +0000 UTC,1.27321656178973,8.95,BRL
493,VIP,COMPLETED,2021-10-23 14:36:13 +0000 UTC,2021-10-23 14:39:40 +0000 UTC,2021-10-23 14:52:41 +0000 UTC,2.61263805326248,13.96,BRL
493,VIP,COMPLETED,2021-10-22 00:12:51 +0000 UTC,2021-10-22 00:16:27 +0000 UTC,2021-10-22 00:25:24 +0000 UTC,1.61915551497994,7.95,BRL
493,VIP,COMPLETED,2021-10-21 20:27:57 +0000 UTC,2021-10-21 20:35:20 +0000 UTC,2021-10-21 20:50:46 +0000 UTC,1.88464210737017,12.93,BRL
493,VIP,COMPLETED,2021-10-17 02:09:16 +0000 UTC,2021-10-17 02:12:50 +0000 UTC,2021-10-17 02:17:35 +0000 UTC,1.28360010285054,10.93,BRL
493,UberEATS Marketplace,COMPLETED,2021-10-12 22:05:58 +0000 UTC,2021-10-12 22:50:07 +0000 UTC,2021-10-12 22:50:07 +0000 UTC,2.43917149044471,73.69,BRL
493,VIP,COMPLETED,2021-10-09 20:26:45 +0000 UTC,2021-10-09 20:33:19 +0000 UTC,2021-10-09 20:40:42 +0000 UTC,1.43626364071028,8.9,BRL
493,VIP,COMPLETED,2021-10-09 18:15:24 +0000 UTC,2021-10-09 18:24:25 +0000 UTC,2021-10-09 18:29:31 +0000 UTC,1.24433376681197,8.91,BRL
493,VIP,COMPLETED,2021-10-09 00:27:15 +0000 UTC,2021-10-09 00:30:38 +0000 UTC,2021-10-09 00:35:19 +0000 UTC,1.13154130527123,8.97,BRL
493,VIP,CANCELED,2021-10-08 21:37:12 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX Promo,COMPLETED,2021-10-07 19:40:48 +0000 UTC,2021-10-07 19:57:21 +0000 UTC,2021-10-07 20:11:17 +0000 UTC,2.90222161115361,11.98,BRL
493,UberX Promo,COMPLETED,2021-10-07 19:09:52 +0000 UTC,2021-10-07 19:14:05 +0000 UTC,2021-10-07 19:31:08 +0000 UTC,2.75540176965201,12.9,BRL
493,VIP,COMPLETED,2021-10-03 22:06:10 +0000 UTC,2021-10-03 22:20:12 +0000 UTC,2021-10-03 22:26:33 +0000 UTC,1.25124758548083,8.97,BRL
493,VIP,COMPLETED,2021-10-02 18:02:48 +0000 UTC,2021-10-02 18:09:33 +0000 UTC,2021-10-02 18:18:12 +0000 UTC,1.75844142856297,9.93,BRL
493,UberX Promo,COMPLETED,2021-10-01 13:45:34 +0000 UTC,2021-10-01 13:49:37 +0000 UTC,2021-10-01 14:04:29 +0000 UTC,3.02802013927743,12.92,BRL
493,UberX Promo,COMPLETED,2021-10-01 12:43:37 +0000 UTC,2021-10-01 12:45:58 +0000 UTC,2021-10-01 13:01:24 +0000 UTC,2.85796632672903,12.99,BRL
493,VIP,COMPLETED,2021-09-30 20:27:03 +0000 UTC,2021-09-30 20:42:00 +0000 UTC,2021-09-30 20:56:05 +0000 UTC,2.6759352393959,17.95,BRL
493,UberX,COMPLETED,2021-09-30 18:00:44 +0000 UTC,2021-09-30 18:04:06 +0000 UTC,2021-09-30 18:23:38 +0000 UTC,3.00736874629412,15.95,BRL
493,Comfort,COMPLETED,2021-09-28 22:52:03 +0000 UTC,2021-09-28 22:57:31 +0000 UTC,2021-09-28 23:07:17 +0000 UTC,1.81148231178944,12.57,BRL
493,VIP,CANCELED,2021-09-28 21:34:45 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberEATS Marketplace,COMPLETED,2021-09-22 21:53:27 +0000 UTC,2021-09-22 22:26:37 +0000 UTC,2021-09-22 22:26:37 +0000 UTC,2.43917149044471,71.59,BRL
493,Comfort,COMPLETED,2021-09-21 17:48:15 +0000 UTC,2021-09-21 17:56:54 +0000 UTC,2021-09-21 18:01:07 +0000 UTC,0.92214560681547,8.01,BRL
493,Comfort,CANCELED,2021-09-19 14:58:29 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,CANCELED,2021-09-19 14:55:25 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberEATS Marketplace,COMPLETED,2021-09-14 22:09:22 +0000 UTC,2021-09-14 22:47:12 +0000 UTC,2021-09-14 22:47:12 +0000 UTC,2.43917149044471,31.89,BRL
493,UberX,COMPLETED,2021-09-11 20:28:03 +0000 UTC,2021-09-11 20:36:12 +0000 UTC,2021-09-11 20:45:52 +0000 UTC,2.14464237320834,13.91,BRL
493,UberX,COMPLETED,2021-09-11 17:34:09 +0000 UTC,2021-09-11 17:40:35 +0000 UTC,2021-09-11 17:48:57 +0000 UTC,1.74089202567988,10.98,BRL
493,UberX,COMPLETED,2021-09-07 13:30:42 +0000 UTC,2021-09-07 13:31:53 +0000 UTC,2021-09-07 13:43:33 +0000 UTC,2.42023480573599,9.92,BRL
493,UberX,CANCELED,2021-09-03 23:41:04 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,CANCELED,2021-09-03 17:52:18 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,COMPLETED,2021-09-03 17:19:31 +0000 UTC,2021-09-03 17:26:03 +0000 UTC,2021-09-03 17:33:29 +0000 UTC,1.38952650364585,6.39,BRL
493,Flash,COMPLETED,2021-08-30 18:19:49 +0000 UTC,2021-08-30 18:22:55 +0000 UTC,2021-08-30 18:33:27 +0000 UTC,2.39198818187322,12.9,BRL
493,UberX,COMPLETED,2021-08-28 16:26:23 +0000 UTC,2021-08-28 16:31:07 +0000 UTC,2021-08-28 16:50:11 +0000 UTC,3.99431973619825,18.99,BRL
493,UberX,COMPLETED,2021-08-27 01:11:01 +0000 UTC,2021-08-27 01:16:11 +0000 UTC,2021-08-27 01:23:15 +0000 UTC,1.25810319040223,7.49,BRL
493,UberX,CANCELED,2021-08-27 01:03:59 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,COMPLETED,2021-08-26 21:54:28 +0000 UTC,2021-08-26 21:58:46 +0000 UTC,2021-08-26 22:04:45 +0000 UTC,1.18587883281322,8.93,BRL
493,Comfort,COMPLETED,2021-08-23 22:35:33 +0000 UTC,2021-08-23 22:40:24 +0000 UTC,2021-08-23 22:47:13 +0000 UTC,1.1746145971897,9.18,BRL
493,UberX,CANCELED,2021-08-23 22:33:49 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,CANCELED,2021-08-21 19:40:47 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,,UNFULFILLED,2021-08-21 19:35:48 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberEATS Marketplace,COMPLETED,2021-08-21 14:08:13 +0000 UTC,2021-08-21 15:13:45 +0000 UTC,2021-08-21 15:13:45 +0000 UTC,2.43917149044471,90.38,BRL
493,Flash,COMPLETED,2021-08-19 20:18:30 +0000 UTC,2021-08-19 20:27:02 +0000 UTC,2021-08-19 20:44:07 +0000 UTC,2.37825438338558,12.97,BRL
493,,UNFULFILLED,2021-08-19 20:09:12 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,COMPLETED,2021-08-17 00:36:19 +0000 UTC,2021-08-17 00:45:27 +0000 UTC,2021-08-17 00:53:02 +0000 UTC,1.96611276382726,9.09,BRL
493,UberX,CANCELED,2021-08-15 22:34:07 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,COMPLETED,2021-08-15 22:05:39 +0000 UTC,2021-08-15 22:19:38 +0000 UTC,2021-08-15 22:27:03 +0000 UTC,2.05322175459186,10.93,BRL
493,UberX,COMPLETED,2021-08-14 19:22:30 +0000 UTC,2021-08-14 19:30:22 +0000 UTC,2021-08-14 19:47:58 +0000 UTC,4.11404302245089,19.94,BRL
493,UberX,COMPLETED,2021-08-13 22:13:19 +0000 UTC,2021-08-13 22:17:35 +0000 UTC,2021-08-13 22:25:15 +0000 UTC,1.56236472805766,8.91,BRL
